# System,SpT1,SpT2,Pday,Vmag,BmV,logM1,logM1e,logM2,logM2e,logR1,logR1e,logR2,logR2e,logg1,logg1e,logg2,logg2e,logT1,logT1e,logT2,logT2e,logL1,logL1e,logL2,logL2e
RT_CrB,G5_IV,K0_IV,5.117,10.21,0.73,0.1281,0.0032,0.1332,0.0029,0.4175,0.0073,0.4692,0.0075,3.731,0.014,3.632,0.015,3.762,0.008,3.71,0.009,0.838,0.032,0.736,0.036
EF_Aqr,G0_V,none,2.854,9.89,0.72,0.0948,0.0028,-0.0241,0.0028,0.1265,0.0039,-0.0195,0.0055,4.28,0.007,4.453,0.011,3.789,0.006,3.715,0.009,0.36,0.011,-0.227,0.02
ASAS_J085002+1752.5,none,none,5.226,10.15,0.72,0.1225,0.001,0.1967,0.0008,0.1962,0.0069,0.5081,0.0057,4.168,0.014,3.619,0.011,3.817,0.014,3.758,0.018,-9.99,-9.99,-9.99,-9.99
KIC_8736245,G2_V,none,5.069,13.95,0.71,-0.0057,0.004,-0.1068,0.005,0.1176,0.002,-0.0947,0.0022,4.197,0.006,4.521,0.008,3.764,0.009,3.702,0.011,-9.99,-9.99,-9.99,-9.99
WOCS_40007,none,none,3.185,15.65,0.71,0.092,0.007,0.0358,0.0072,0.1458,0.0022,0.0406,0.0016,4.24,0.005,4.381,0.004,3.795,0.006,3.775,0.011,-9.99,-9.99,-9.99,-9.99
V432_Aur,none,none,3.082,8.15,0.7,0.0334,0.0056,0.0792,0.0065,0.0899,0.0021,0.3909,0.0035,4.29,0.008,3.74,0.01,3.825,0.006,3.784,0.006,-9.99,-9.99,-9.99,-9.99
V1094_Tau,G0_V,G3_V,8.989,8.97,0.7,0.04,0.0016,0.0052,0.0012,0.1495,0.0018,0.0439,0.0026,4.179,0.004,4.355,0.005,3.767,0.007,3.756,0.008,0.32,0.03,0.05,0.03
EPIC_219568666,F8_V,none,11.991,11.86,0.7,0.0496,0.005,-0.1349,0.003,0.0711,0.0026,-0.1938,0.0115,4.346,0.005,4.69,0.022,3.788,0.007,3.653,0.01,0.248,0.028,-0.818,0.046
KIC_5359678,F5,none,6.231,14.21,0.7,0.0976,0.0062,0.0273,0.0053,0.1611,0.0036,0.0204,0.007,4.214,0.007,4.424,0.013,3.813,0.003,3.777,0.005,0.555,0.014,0.103,0.025
NP_Per,F5_V,K5_e,2.229,11.24,0.7,0.1208,0.0029,0.0194,0.0019,0.1374,0.0041,0.0896,0.0046,4.284,0.008,4.2779,0.0089,3.808,0.006,3.657,0.015,0.46,0.025,-0.237,0.058
IM_Per,A8_V,A8_V,2.254,11.28,0.7,0.2512,0.0023,0.249,0.0024,0.3818,0.0032,0.374,0.0031,3.9258,0.0067,3.9394,0.0068,3.88,0.009,3.879,0.009,1.235,0.035,1.217,0.036
CoRoT_105906206,none,none,3.695,11.78,0.7,0.3522,0.0077,0.1106,0.0101,0.6274,0.002,0.1271,0.0032,3.53,0.01,4.3,0.02,3.829,0.01,3.789,0.011,1.53,0.04,0.36,0.05
HP_Aur,G2_V,K1_V,1.423,11.17,0.68,-0.0203,0.0019,-0.0918,0.0019,0.0119,0.0018,-0.1103,0.0019,4.3942,0.004,4.5669,0.0043,3.764,0.009,3.713,0.01,0.036,0.035,-0.414,0.039
TIC_193993801,F8_V,none,1.431,11.27,0.67,0.1159,0.005,0.0752,0.0066,0.2284,0.0036,0.1153,0.0057,4.098,0.006,4.245,0.011,3.801,0.003,3.785,0.003,0.614,0.013,0.323,0.018
OGLE-SMC-ECL-3678,F2_II,G6_II,187.843,15.56,0.67,0.5832,0.0023,0.5717,0.0012,1.4942,0.007,1.6294,0.0041,2.03,0.01,1.75,0.01,3.823,0.008,3.697,0.006,3.234,0.037,3.003,0.026
Kepler-35,none,none,20.734,15.96,0.66,-0.0517,0.0025,-0.0918,0.0024,0.0122,0.0008,-0.1045,0.0012,4.3623,0.002,4.5556,0.0016,3.749,0.011,3.716,0.008,-0.027,0.043,-0.387,0.02
IM_Vir,G7_V,K7_V,1.309,9.57,0.66,-0.0083,0.0053,-0.1776,0.0031,0.0257,0.0065,-0.1669,0.0083,4.379,0.014,4.594,0.017,3.754,0.008,3.628,0.013,-0.012,0.034,-0.867,0.056
Kepler_1647,none,none,11.259,13.7,0.66,0.0866,0.004,-0.0142,0.0018,0.2529,0.0013,-0.0149,0.0026,4.018,0.002,4.4534,0.004,3.793,0.007,3.761,0.009,-9.99,-9.99,-9.99,-9.99
EPIC_219394517,G,G,6.527,11.34,0.64,0.0327,0.0008,0.0278,0.001,0.0233,0.0045,0.0179,0.005,4.4247,0.0094,4.4303,0.0097,3.773,0.007,3.769,0.007,0.091,0.031,0.066,0.031
V963_Cen,G1_IV-V,G1_IV-V,15.269,8.6,0.64,0.0339,0.0012,0.0315,0.0012,0.16,0.0016,0.1527,0.0021,4.152,0.003,4.164,0.004,3.764,0.004,3.765,0.005,0.332,0.018,0.32,0.021
ASAS_J171750-1915.3,none,none,3.137,10.99,0.64,0.1326,0.0008,0.1288,0.001,0.2243,0.0018,0.217,0.0016,4.122,0.003,4.133,0.003,3.815,0.009,3.813,0.009,-9.99,-9.99,-9.99,-9.99
OGLE-LMC-CEP-01812,F7_II,G4_III,551.776,16.69,0.64,0.5752,0.0035,0.4183,0.0033,1.2516,0.0032,1.073,0.0029,2.509,0.007,2.709,0.007,3.787,0.011,3.713,0.01,2.61,0.04,1.95,0.04
ASAS_J045304-0700.4,K2_V,K4_V,1.622,11.24,0.63,-0.0789,0.0019,-0.082,0.0021,-0.0716,0.0026,-0.0794,0.0026,4.503,0.005,4.515,0.005,3.726,0.016,3.708,0.017,-0.278,0.065,-0.365,0.068
Kepler-34,none,none,27.796,15.04,0.63,0.0203,0.0013,0.0089,0.0009,0.0651,0.0011,0.0385,0.0012,4.3284,0.0021,4.3703,0.0022,3.772,0.009,3.768,0.01,0.173,0.033,0.107,0.036
QR_Hya,G1_V,G2_V,5.006,8.4,0.63,0.0415,0.0007,0.0283,0.0008,0.1087,0.0014,0.0802,0.002,4.262,0.003,4.306,0.004,3.773,0.005,3.767,0.005,0.262,0.021,0.182,0.023
V636_Cen,G0_V,none,4.284,8.7,0.62,0.022,0.0021,-0.0685,0.0015,0.0077,0.0017,-0.0809,0.0021,4.444,0.004,4.532,0.005,3.771,0.006,3.699,0.009,0.05,0.03,-0.41,0.04
WOCS_12009,none,none,69.728,13.99,0.62,0.0457,0.0059,-0.1261,0.0029,0.0298,0.0036,-0.1469,0.0195,4.424,0.002,4.607,0.038,3.785,0.007,3.673,0.01,-9.99,-9.99,-9.99,-9.99
AN_Cam,F9_V,G2_IV,20.998,9.69,0.61,0.1399,0.0066,0.1467,0.0077,0.3343,0.0024,0.4226,0.0023,3.9095,0.003,3.74,0.0037,3.782,0.011,3.76,0.011,0.75,0.043,0.839,0.046
GX_Gem,F7_V,F7_V,4.038,11.33,0.61,0.1726,0.0032,0.1664,0.003,0.3668,0.0022,0.3499,0.0023,3.877,0.004,3.904,0.005,3.792,0.007,3.79,0.007,0.86,0.03,0.82,0.03
KIC_3858884,none,none,25.952,9.45,0.61,0.2742,0.0069,0.2695,0.0093,0.5378,0.0013,0.4843,0.0014,3.63,0.01,3.74,0.01,3.833,0.004,3.82,0.005,-9.99,-9.99,-9.99,-9.99
V785_Cep,none,none,6.504,14.74,0.6,0.0426,0.0028,0.0338,0.0028,0.1535,0.0058,0.1377,0.006,4.174,0.012,4.196,0.013,3.771,0.007,3.769,0.007,0.34,0.03,0.3,0.03
RU_Cnc,none,none,10.173,10.2,0.6,0.1294,0.0035,0.1508,0.0021,0.34,0.0083,0.6936,0.0064,3.888,0.017,3.202,0.013,3.817,0.006,3.678,0.013,-9.99,-9.99,-9.99,-9.99
OGLE-LMC-CEP-00227,F7_Ib-II,G4_II,309.669,15.2,0.6,0.618,0.0031,0.6085,0.0032,1.5425,0.0015,1.6512,0.0014,1.97,0.004,1.743,0.003,3.778,0.012,3.708,0.01,3.15,0.05,3.09,0.04
EPIC_210822691,none,none,8.074,11.37,0.59,0.0374,0.004,-0.0177,0.009,0.0969,0.0035,-0.0269,0.0046,4.286,0.021,4.473,0.033,3.775,0.009,3.745,0.012,0.245,0.028,-0.118,0.038
UW_LMi,G0_V,G0_V,3.874,8.32,0.59,0.0655,0.0007,0.057,0.0006,0.1271,0.0045,0.1055,0.0055,4.249,0.009,4.284,0.011,3.781,0.005,3.778,0.005,0.332,0.022,0.279,0.023
BF_Dra,F6_V,F6_V,11.211,9.76,0.59,0.1504,0.0009,0.1383,0.0009,0.3193,0.0025,0.2838,0.0027,3.95,0.005,4.008,0.005,3.803,0.011,3.806,0.01,0.81,0.04,0.75,0.04
BK_Peg,F8_V,F7_V,5.49,9.98,0.59,0.1504,0.0021,0.0993,0.0017,0.2984,0.0017,0.1685,0.005,3.992,0.004,4.201,0.01,3.797,0.006,3.801,0.006,0.74,0.02,0.49,0.03
ASAS_J163903-2847.2,none,none,23.31,9.85,0.59,0.1526,0.0012,0.0573,0.0008,0.3339,0.0012,0.0878,0.0014,3.923,0.002,4.32,0.003,3.822,0.005,3.819,0.025,-9.99,-9.99,-9.99,-9.99
KIC_2557430,F2_V,F9_V,1.298,11.63,0.58,0.2279,0.0077,0.1303,0.0064,0.2742,0.0046,0.0899,0.0106,4.116,0.009,4.386,0.019,3.848,0.011,3.782,0.05,0.899,0.038,0.249,0.075
ASAS_J060505+2032.1,none,none,2.121,11.93,0.58,0.2345,0.0056,0.2297,0.0072,0.3113,0.0021,0.3028,0.0024,4.05,0.003,4.062,0.004,3.87,0.025,3.87,0.022,-9.99,-9.99,-9.99,-9.99
V413_Ser,B8_V,B9_V,2.26,8,0.58,0.5658,0.0059,0.5263,0.0052,0.5065,0.0068,0.4669,0.0074,3.9914,0.0028,4.031,0.0031,4.045,0.012,4.015,0.012,2.149,0.022,1.949,0.034
NGC_6362_V41,none,none,17.889,18.77,0.57,-0.0854,0.0031,-0.1379,0.0028,0.031,0.0019,-0.1363,0.0027,4.311,0.004,4.593,0.006,3.787,0.009,3.759,0.009,0.164,0.033,-0.281,0.036
AL_Dor,F9_V,F9_V,14.905,7.74,0.57,0.0421,0.0002,0.0425,0.0003,0.0381,0.0008,0.0407,0.0008,4.404,0.002,4.399,0.002,3.782,0.005,3.782,0.005,0.159,0.018,0.164,0.018
EW_Ori,G0_V,G2_V,6.937,9.9,0.57,0.0693,0.0041,0.0504,0.0035,0.0674,0.0019,0.0402,0.002,4.372,0.005,4.408,0.005,3.783,0.007,3.771,0.007,0.22,0.03,0.12,0.03
V501_Mon,A6m,F0,7.021,12.32,0.57,0.2163,0.0011,0.164,0.0007,0.276,0.0067,0.2019,0.0076,4.103,0.013,4.199,0.016,3.876,0.006,3.845,0.006,1.007,0.027,0.743,0.043
M55_V54,none,none,9.269,18.3,0.56,-0.1391,0.009,-0.2557,0.0063,0.0026,0.0039,-0.2774,0.0041,4.294,0.01,4.737,0.01,3.796,0.005,3.701,0.008,0.14,0.021,-0.799,0.033
47_Tuc_E32,none,none,40.913,17.15,0.56,-0.0646,0.0024,-0.0826,0.0024,0.0731,0.0012,0.0019,0.0017,4.227,0.002,4.352,0.003,3.78,0.003,3.775,0.003,0.217,0.013,0.057,0.015
47_Tuc_V69,none,none,29.54,16.84,0.56,-0.0574,0.0024,-0.0661,0.003,0.1189,0.0017,0.0651,0.0023,4.143,0.003,4.242,0.003,3.775,0.003,3.777,0.003,0.292,0.013,0.193,0.014
KX_Cnc,F9_V,F9_V,31.22,7.19,0.56,0.0548,0.0012,0.0508,0.0017,0.0223,0.0023,0.025,0.0021,4.4825,0.0045,4.4388,0.0041,3.771,0.007,3.767,0.007,0.083,0.03,0.071,0.03
KIC_7821010,none,none,24.238,10.84,0.56,0.1062,0.0058,0.0867,0.0057,0.1059,0.0037,0.0828,0.005,4.332,0.007,4.359,0.009,3.827,0.01,3.817,0.011,0.47,0.04,0.39,0.05
NGC_6362_V40,none,none,5.296,18.22,0.55,-0.079,0.0033,-0.0998,0.0026,0.1223,0.0025,-0.0013,0.0057,4.55,0.005,4.361,0.011,3.789,0.009,3.785,0.011,0.356,0.035,0.093,0.046
Tyc_5227-1023-1,none,none,4.306,11.86,0.55,-0.0195,0.0073,-0.0762,0.0062,0.1424,0.0031,-0.0101,0.0044,4.13,0.01,4.38,0.01,3.803,0.014,3.773,0.016,-9.99,-9.99,-9.99,-9.99
HP_Dra,F9_V,F9_V,10.762,7.94,0.55,0.0542,0.0019,0.039,0.0028,0.137,0.0038,0.022,0.0041,4.218,0.01,4.433,0.011,3.778,0.011,3.77,0.011,0.34,0.044,0.079,0.044
TIC_172900988,none,none,19.658,10.14,0.55,0.0891,0.0003,0.0799,0.0003,0.1407,0.0008,0.1186,0.0004,4.2492,0.0016,4.2808,0.0009,3.782,0.007,3.777,0.007,-9.99,-9.99,-9.99,-9.99
ZZ_UMa,F8_V,G6_V,2.299,10.39,0.54,0.0549,0.0033,-0.0154,0.0023,0.1574,0.0021,0.0315,0.0019,4.178,0.004,4.36,0.003,3.775,0.005,3.722,0.007,0.37,0.052,-0.095,0.03
LL_Aqr,F3_V,F8_V,20.178,9.32,0.54,0.0777,0.0003,0.0144,0.0003,0.1209,0.002,0.0009,0.0022,4.274,0.004,4.451,0.004,3.784,0.003,3.756,0.004,0.332,0.014,-0.019,0.016
UX_Men,F8_V,F8_V,4.181,8.22,0.54,0.0874,0.0005,0.0747,0.0005,0.1294,0.0042,0.1052,0.0044,4.272,0.009,4.306,0.009,3.792,0.007,3.789,0.007,0.38,0.03,0.32,0.03
V1061_Cyg,F9_V,G8_V,2.347,9.24,0.54,0.1079,0.0051,-0.0308,0.0032,0.2082,0.0046,-0.0114,0.0089,4.129,0.011,4.43,0.018,3.791,0.007,3.724,0.012,0.533,0.03,-0.173,0.052
NN_Del,F8,none,99.269,8.4,0.54,0.1597,0.0009,0.1227,0.0007,0.3412,0.003,0.2063,0.0038,3.915,0.006,4.148,0.007,3.809,0.014,3.813,0.013,0.868,0.054,0.615,0.054
HD_32129,F3_V,G2_V,16.412,9.09,0.54,0.1872,0.001,0.0289,0.0008,0.2724,0.0012,-0.0055,0.0022,4.08,0.003,4.478,0.006,3.827,0.004,3.76,0.007,0.806,0.016,-0.013,0.031
CQ_Ind,F6_V,F8_V,8.974,8.36,0.53,0.1036,0.0004,0.0528,0.0005,0.1491,0.0012,0.0518,0.0022,4.243,0.002,4.387,0.003,3.81,0.005,3.788,0.005,0.494,0.018,0.212,0.021
DN_Cas,O8.5_V,B0.2_V,2.311,9.93,0.53,1.2797,0.0016,1.1377,0.0016,0.8585,0.0036,0.7627,0.0045,4,0.009,4.27,0.01,4.507,0.014,4.447,0.017,4.7,0.06,4.27,0.08
KIC_6525196,none,none,3.421,10.22,0.52,0.015,0.0023,-0.0127,0.0017,0.0302,0.0008,0.0044,0.0007,4.3927,0.0024,4.4166,0.0019,3.812,0.009,3.806,0.008,-9.99,-9.99,-9.99,-9.99
KIC_7177553,G2_V,G2_V,17.996,11.54,0.52,0.0183,0.0058,-0.0061,0.0066,-0.0269,0.0023,-0.0264,0.0023,4.517,0.008,4.491,0.008,3.763,0.01,3.759,0.011,-0.055,0.04,-0.071,0.041
AL_Ari,F6_V,G7_V,3.747,7.23,0.52,0.066,0.0005,-0.0404,0.0003,0.1374,0.0028,-0.0434,0.0038,4.229,0.005,4.458,0.008,3.804,0.004,3.745,0.005,0.444,0.016,-0.155,0.019
FL_Lyr,F8_V,G8_V,2.178,9.33,0.52,0.0829,0.0027,-0.0217,0.0018,0.0948,0.008,-0.0458,0.0116,4.331,0.016,4.508,0.023,3.796,0.008,3.74,0.019,0.33,0.095,-0.18,0.08
CO_And,F8_V,F8_V,3.655,10.83,0.52,0.1103,0.0025,0.1019,0.0025,0.2373,0.0053,0.2289,0.0044,4.074,0.011,4.0822,0.0089,3.788,0.009,3.79,0.009,0.58,0.038,0.572,0.038
LX_Mus,F5_V,F5_V,11.751,8.78,0.51,0.1282,0.0002,0.1317,0.0002,0.1287,0.0027,0.1449,0.0022,4.309,0.005,4.28,0.004,3.815,0.005,3.817,0.004,0.473,0.018,0.513,0.017
AQ_Ser,F5_IV,F6_IV,1.687,10.65,0.51,0.129,0.0077,0.1514,0.0067,0.3581,0.0027,0.3893,0.0048,3.85,0.009,3.81,0.012,3.808,0.007,3.802,0.007,0.901,0.027,0.939,0.042
RW_Lac,G5_V,G7_V,10.369,10.63,0.5,-0.0325,0.0028,-0.0605,0.002,0.0741,0.0015,-0.0159,0.0018,4.257,0.003,4.409,0.004,3.76,0.008,3.745,0.012,0.14,0.03,-0.1,0.05
EBLM_J0113+31,G0_V,none,14.277,10.12,0.5,0.0124,0.0106,-0.7055,0.0066,0.1514,0.0043,-0.6676,0.004,4.148,0.006,5.068,0.006,3.787,0.003,3.528,0.005,0.406,0.014,-2.267,0.024
CV_Boo,G2_V,G3_V,0.847,10.8,0.5,0.0137,0.0055,-0.0141,0.0054,0.1011,0.0079,0.0693,0.0085,4.294,0.016,4.285,0.017,3.76,0.011,3.754,0.011,0.197,0.048,0.107,0.049
WASP_0639-32,F,K,11.658,10.66,0.5,0.0624,0.0016,-0.1061,0.0016,0.2634,0.0054,-0.1372,0.0048,3.974,0.011,4.607,0.01,3.801,0.003,3.732,0.006,0.685,0.018,-0.392,0.028
WZ_Oph,F8_V,F8_V,4.184,9.1,0.5,0.0888,0.0025,0.0864,0.0021,0.1464,0.0037,0.152,0.0037,4.234,0.008,4.221,0.008,3.79,0.007,3.786,0.007,0.41,0.03,0.4,0.03
IT_Cas,F5_V,F5_V,3.897,11.15,0.5,0.122,0.0031,0.1212,0.0026,0.1918,0.0012,0.1907,0.0013,4.1765,0.0022,4.1778,0.0021,3.829,0.007,3.829,0.007,0.653,0.027,0.651,0.027
BG_Ind,F,F,1.464,6.13,0.5,0.1559,0.0061,0.1189,0.0083,0.369,0.0035,0.2019,0.009,3.852,0.008,4.15,0.012,3.809,0.002,3.834,0.002,0.926,0.009,0.693,0.02
EPIC_219552514,none,none,2.754,10.34,0.5,0.1787,0.017,-0.1878,0.01,0.3988,0.005,-0.1858,0.0087,3.822,0.009,4.624,0.012,3.791,0.007,3.603,0.018,0.913,0.03,-1.018,0.075
OGLE-SMC-ECL-2876,G0_III,G4_III,120.867,17.49,0.5,0.4082,0.0068,0.3997,0.0052,1.2175,0.0105,1.238,0.01,2.41,0.02,2.36,0.02,3.745,0.008,3.712,0.008,2.371,0.037,2.279,0.034
OGLE-LMC-CEP-04506,F7_Ib,F7_Ib-II,1550.354,15.5,0.5,0.5575,0.0036,0.5465,0.0037,1.4548,0.003,1.4216,0.0033,2.087,0.007,2.142,0.006,3.787,0.011,3.783,0.011,3.01,0.05,2.93,0.05
V530_Ori,G1_V,M1_V,6.111,9.96,0.49,0.0016,0.0029,-0.2251,0.0016,-0.0088,0.0058,-0.2311,0.005,4.457,0.012,4.676,0.01,3.777,0.007,3.589,0.013,0.016,0.032,-1.154,0.053
FM_Leo,F6_V,F6_V,6.729,8.47,0.49,0.1187,0.0002,0.1039,0.0001,0.2107,0.0006,0.1785,0.0008,4.135,0.001,4.185,0.001,3.806,0.004,3.805,0.004,0.6,0.015,0.533,0.015
BN_Scl,F7_V,F8_V,3.747,5.23,0.49,0.1482,0.0007,0.0948,0.0005,0.2634,0.0017,0.1399,0.0028,4.059,0.003,4.256,0.006,3.8,0.003,3.795,0.005,0.68,0.015,0.415,0.02
BD_+47_378,F0_V,K4_V,2.145,10.11,0.49,0.2279,0.0077,-0.0969,0.0109,0.301,0.0022,-0.1079,0.0056,4.068,0.003,4.552,0.006,3.854,0.006,3.664,0.009,0.968,0.025,-0.6,0.038
GG_Ori,A2_V,A2_V,6.631,10.43,0.49,0.3696,0.003,0.3688,0.0032,0.2676,0.0059,0.2625,0.0059,4.272,0.012,4.282,0.012,3.998,0.009,3.998,0.009,1.48,0.037,1.47,0.037
KIC_3439031,none,none,5.952,11.34,0.48,0.0884,0.0009,0.089,0.001,0.1484,0.0007,0.1471,0.0008,4.23,0.0013,4.2332,0.0015,3.815,0.015,3.815,0.015,0.45,0.06,0.45,0.06
IO_Aqr,F5_V-IV,F6_V-IV,2.368,8.86,0.48,0.1956,0.0011,0.2188,0.001,0.3406,0.003,0.3967,0.003,3.952,0.006,3.863,0.006,3.811,0.009,3.802,0.009,0.88,0.032,0.954,0.031
KIC_9850387,F1_V,none,2.748,13.67,0.48,0.2201,0.0026,0.0261,0.0016,0.3332,0.0006,0.0338,0.0012,3.992,0.003,4.396,0.003,3.865,0.005,3.79,0.005,-9.99,-9.99,-9.99,-9.99
CC_Cas,O8.5_III(n),B0.5_V,3.366,7.08,0.48,1.3709,0.017,0.9978,0.0148,1.0362,0.0072,0.8351,0.0114,3.736,0.013,3.766,0.022,4.538,0.025,4.452,0.031,5.179,0.053,4.474,0.064
V338_Vir,F5_V,F6_IV,5.985,9.15,0.47,0.1164,0.0007,0.1804,0.0006,0.1855,0.0028,0.3738,0.0017,4.183,0.006,3.871,0.003,3.818,0.006,3.808,0.004,0.599,0.024,0.934,0.017
UZ_Dra,F7_V,G0_V,3.261,9.59,0.47,0.1271,0.0065,0.0899,0.0071,0.1173,0.0099,0.0607,0.0076,4.33,0.03,4.4,0.03,3.793,0.008,3.777,0.008,0.35,0.05,0.18,0.05
V1143_Cyg,F5_V,F5_V,7.641,5.89,0.47,0.1339,0.0013,0.1245,0.0013,0.1297,0.0052,0.1212,0.0053,4.31,0.03,4.32,0.04,3.821,0.013,3.818,0.015,0.53,0.06,0.5,0.07
VZ_Cep,F3_V,G4_V,1.183,9.72,0.47,0.1467,0.0046,0.0444,0.0033,0.1858,0.0034,0.0179,0.0163,4.213,0.008,4.446,0.033,3.824,0.01,3.757,0.009,0.634,0.041,0.026,0.05
DM_Vir,F7_V,F7_V,4.669,8.73,0.47,0.1626,0.0024,0.1608,0.0024,0.2463,0.0042,0.2463,0.0042,4.108,0.009,4.106,0.009,3.813,0.007,3.813,0.007,0.7,0.03,0.7,0.03
RZ_Cha,F5_V,F5_V,2.832,8.1,0.47,0.1813,0.006,0.1787,0.0078,0.3549,0.0033,0.3549,0.0033,3.909,0.009,3.907,0.01,3.81,0.01,3.81,0.01,0.9,0.04,0.9,0.04
V1022_Cas,F6_V,F6_V,12.156,5.56,0.47,0.2111,0.0003,0.206,0.0003,0.4099,0.0035,0.3883,0.0039,3.83,0.02,3.87,0.01,3.803,0.01,3.808,0.01,0.985,0.049,0.961,0.046
WW_Cam,A4_Vm,A4_Vm,2.274,10.14,0.47,0.2833,0.0029,0.2725,0.0042,0.2813,0.0036,0.2572,0.0034,4.159,0.008,4.196,0.009,3.922,0.007,3.916,0.007,1.2,0.03,1.13,0.03
ASAS_J231922-0852.2,none,none,6.062,10.24,0.46,0.0554,0.0011,0.0026,0.0009,0.2148,0.0024,0.0453,0.009,4.064,0.005,4.35,0.018,3.797,0.003,3.795,0.007,-9.99,-9.99,-9.99,-9.99
V1200_Cen,F5_V,none,2.483,8.5,0.46,0.144,0.0056,-0.0638,0.0041,0.1483,0.0043,0.0622,0.0053,4.2855,0.0082,4.2496,0.0099,3.819,0.004,3.651,0.007,0.525,0.013,-0.319,0.025
V570_Per,F3_V,F5_V,1.901,8.09,0.46,0.161,0.0019,0.1302,0.002,0.187,0.0099,0.13,0.0103,4.225,0.02,4.308,0.021,3.835,0.003,3.817,0.003,0.669,0.023,0.483,0.024
BW_Aqr,F7_V,F7_V,6.72,10.3,0.45,0.1377,0.0057,0.167,0.0053,0.2388,0.0022,0.3161,0.0008,4.0982,0.004,3.9731,0.0025,3.81,0.007,3.802,0.007,0.669,0.027,0.796,0.028
ASAS_J073507-0905.7,F5_V,none,1.446,9.32,0.45,0.162,0.0102,-0.0926,0.007,0.2135,0.0032,-0.0867,0.0058,4.173,0.005,4.519,0.01,3.806,0.007,3.64,0.011,0.6,0.03,-0.66,0.05
KIC_6778289,none,none,30.13,13.09,0.45,0.1796,0.0063,0.0382,0.0076,0.2425,0.0022,-0.0009,0.0022,4.133,0.008,4.479,0.01,3.834,0.01,3.861,0.026,-9.99,-9.99,-9.99,-9.99
KIC_10031808,none,none,8.59,9.56,0.45,0.2408,0.0022,0.2548,0.0031,0.4133,0.0034,0.481,0.002,3.852,0.006,3.731,0.004,3.852,0.007,3.835,0.007,1.185,0.027,1.254,0.027
AP_And,F5_V,F5_V,1.587,11.19,0.44,0.1062,0.0015,0.0973,0.0015,0.0911,0.0022,0.0775,0.0019,4.3623,0.0044,4.3805,0.0038,3.817,0.01,3.813,0.01,0.403,0.04,0.358,0.039
AD_Boo,F6_V,G0_V,2.069,9.38,0.44,0.1504,0.0028,0.0824,0.0022,0.2074,0.0038,0.0849,0.0036,4.173,0.008,4.351,0.007,3.818,0.008,3.789,0.008,0.64,0.03,0.28,0.04
CD_Tau,F6_V,F6_V,3.435,6.77,0.44,0.159,0.0048,0.1361,0.0051,0.2548,0.0041,0.1998,0.0055,4.087,0.01,4.174,0.012,3.792,0.004,3.792,0.004,-9.99,-9.99,-9.99,-9.99
V455_Aur,F5_V,F6_V,3.146,7.28,0.43,0.1102,0.0021,0.0905,0.0018,0.1427,0.0034,0.1199,0.0046,4.2626,0.007,4.2887,0.0089,3.813,0.013,3.806,0.013,0.492,0.054,0.419,0.055
V2080_Cyg,F4_V,F4_V,4.934,7.4,0.42,0.0759,0.0062,0.0633,0.0064,0.203,0.0022,0.2038,0.0022,4.108,0.003,4.093,0.003,3.778,0.005,3.777,0.005,0.474,0.022,0.472,0.022
V505_Per,F5_V,F5_V,4.222,6.88,0.42,0.1053,0.0012,0.0996,0.001,0.112,0.0005,0.1016,0.0006,4.3194,0.001,4.3343,0.001,3.814,0.003,3.81,0.013,0.434,0.013,0.399,0.013
