System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag
EPIC_203710387-1,M,2.809,14.3,1.8,-0.9363,0.0116,-0.3648,0.0055,4.231,0.01,3.483,0.011,-1.842,0.047,0.115797718,3.483,1.8,9.405
EPIC_203710387-2,M,2.809,14.3,1.8,-0.9763,0.0111,-0.373,0.0057,4.207,0.01,3.483,0.011,-1.861,0.047,0.105608774,3.483,1.8,9.4525
CM_Dra-1,M,1.268,12.9,1.6,-0.6478,0.0006,-0.6003,0.0003,4.9908,0.0008,3.496,0.01,-2.258,0.038,0.225009057,3.496,1.6,10.445
CM_Dra-2,M,1.268,12.9,1.6,-0.6776,0.0006,-0.6243,0.0004,5.0091,0.0007,3.494,0.014,-2.313,0.056,0.210087397,3.494,1.6,10.5825
KOI-126_BC-1,M,1.722,-1,-1,-0.6286,0.0011,-0.5943,0.0014,4.998,0.003,3.51,0.005,-2.194,0.02,0.235179791,3.51,-1,10.285
KOI-126_BC-2,M,1.722,-1,-1,-0.6834,0.0013,-0.6354,0.0013,5.026,0.003,3.501,0.005,-2.312,0.02,0.207300333,3.501,-1,10.58
UScoCTIO_5-1,M,34.001,16.19,1.62,-0.4694,0.0026,-0.0588,0.0012,4.0859,0.0021,3.515,0.013,-1.105,0.053,0.33931261,3.515,1.62,7.5625
UScoCTIO_5-2,M,34.001,16.19,1.62,-0.4864,0.0027,-0.077,0.0012,4.1053,0.0021,3.513,0.013,-1.146,0.059,0.326287172,3.513,1.62,7.665
LSPM_J1112+7626-1,M,41.033,14.85,1.49,-0.4038,0.0025,-0.4134,0.0061,4.861,0.012,3.486,0.024,-1.92,0.08,0.394638998,3.486,1.49,9.6
PTFEB_132.707+19.810-1,M,6.016,17.89,1.66,-0.4031,0.0022,-0.4401,0.0096,4.915,0.019,3.513,0.012,-1.863,0.032,0.395275594,3.513,1.66,9.4575
PTFEB_132.707+19.810-2,M,6.016,17.89,1.66,-0.6782,0.0029,-0.5654,0.0192,4.891,0.039,3.494,0.015,-2.3,0.13,0.209797351,3.494,1.66,10.55
NGTS_0002-29-1,M,1.098,17.64,1.28,-0.4003,0.0036,-0.3939,0.0052,4.826,0.01,3.528,0.005,-1.72,0.02,0.397832263,3.528,1.28,9.1
NGTS_0002-29-2,M,1.098,17.64,1.28,-0.6488,0.0035,-0.5592,0.0087,4.908,0.017,3.509,0.006,-2.12,0.03,0.224491551,3.509,1.28,10.1
CU_Cnc-1,M,2.771,11.89,1.4,-0.3632,0.0017,-0.3648,0.0052,4.804,0.011,3.5,0.021,-1.778,0.083,0.433311285,3.5,1.4,9.245
CU_Cnc-2,M,2.771,11.89,1.4,-0.4001,0.0015,-0.408,0.0104,4.854,0.021,3.495,0.021,-1.884,0.086,0.398015514,3.495,1.4,9.51
HAT-TR-318-007-1,M,3.343,16.13,1.32,-0.3487,0.001,-0.3422,0.0034,4.774,0.0057,3.504,0.015,-1.715,0.06,0.44802268,3.504,1.32,9.0875
HAT-TR-318-007-2,M,3.343,16.13,1.32,-0.5653,0.0067,-0.5357,0.0036,4.9442,0.0039,3.491,0.015,-2.151,0.062,0.272082118,3.491,1.32,10.1775
MG1-2056316-1,M,1.722,16.2,1.5,-0.3288,0.0019,-0.3556,0.003,4.82,0.006,3.539,0.022,-1.6,0.09,0.469029328,3.539,1.5,8.8
MG1-2056316-2,M,1.722,16.2,1.5,-0.4179,0.0023,-0.4271,0.0035,4.874,0.007,3.521,0.022,-1.82,0.09,0.382032227,3.521,1.5,9.35
THOR_42-1,M,0.859,15.17,1.53,-0.3036,0.0044,-0.1811,0.002,4.496,0.003,3.518,0.003,-1.337,0.013,0.497049911,3.518,1.53,8.1425
MG1-646680-1,M,1.638,17.3,1.4,-0.3019,0.0017,-0.3401,0.0067,4.816,0.013,3.572,0.006,-1.44,0.03,0.498999373,3.572,1.4,8.4
MG1-646680-2,M,1.638,17.3,1.4,-0.3536,0.002,-0.3696,0.0061,4.824,0.013,3.56,0.006,-1.55,0.03,0.442996199,3.56,1.4,8.675
MG1-78457-1,M,1.586,17.7,1.5,-0.2782,0.0016,-0.2967,0.0095,4.753,0.019,3.522,0.013,-1.55,0.05,0.526987119,3.522,1.5,8.675
MG1-78457-2,M,1.586,17.7,1.5,-0.3089,0.0018,-0.327,0.0111,4.783,0.022,3.515,0.013,-1.64,0.05,0.491020925,3.515,1.5,8.9
MG1-116309-1,K,0.827,16.1,1.4,-0.2464,0.0015,-0.2581,0.0102,4.708,0.02,3.593,0.011,-1.19,0.04,0.567022118,3.593,1.4,7.775
MG1-116309-2,M,0.827,16.1,1.4,-0.2741,0.0016,-0.2741,0.0073,4.712,0.015,3.581,0.011,-1.27,0.05,0.531985751,3.581,1.4,7.975
MG1-506664-1,M,1.548,16,1.4,-0.2336,0.0015,-0.2518,0.0039,4.708,0.008,3.572,0.012,-1.26,0.05,0.583982725,3.572,1.4,7.95
MG1-506664-2,M,1.548,16,1.4,-0.2644,0.0016,-0.2899,0.0068,4.753,0.013,3.558,0.012,-1.4,0.05,0.544001378,3.558,1.4,8.3
LP_819-72-1,K,11,10.54,1.76,-0.2291,0.0147,-0.2218,0.0072,4.65,0.02,3.605,0.006,-1.07,0.03,0.590065197,3.605,1.76,7.475
LP_819-72-2,K,11,10.54,1.76,-0.1871,0.0134,-0.2366,0.0075,4.72,0.02,3.626,0.006,-1.01,0.03,0.64998001,3.626,1.76,7.325
YY_Gem-1,M,0.814,9.07,1.49,-0.2237,0.0034,-0.2079,0.004,4.63,0.008,3.582,0.011,-1.134,0.009,0.597447846,3.582,1.49,7.635
YY_Gem-2,M,0.814,9.07,1.49,-0.2212,0.0034,-0.2193,0.0041,4.655,0.051,3.582,0.011,-1.134,0.009,0.60089695,3.582,1.49,7.635
GU_Boo-1,M,0.489,13.7,1.5,-0.2147,0.005,-0.2055,0.0112,4.634,0.023,3.593,0.014,-1.09,0.06,0.609958096,3.593,1.5,7.525
GU_Boo-2,M,0.489,13.7,1.5,-0.2226,0.0044,-0.2076,0.014,4.63,0.028,3.581,0.015,-1.14,0.08,0.598963006,3.581,1.5,7.65
NSVS_10653195-1,K,0.561,12.5,1.17,-0.1937,0.0035,-0.163,0.0133,4.57,0.027,3.628,0.01,-0.863,0.05,0.640176901,3.628,1.17,6.9575
NSVS_10653195-2,K,0.561,12.5,1.17,-0.1864,0.0035,-0.1726,0.0129,4.597,0.027,3.613,0.012,-0.939,0.055,0.651028498,3.613,1.17,7.1475
ASAS_J082552-1622.8-1,K,1.528,11.45,1.16,-0.1531,0.0028,-0.1586,0.0056,4.6,0.016,3.624,0.021,-0.808,0.082,0.70291045,3.624,1.16,6.82
ASAS_J082552-1622.8-2,M,1.528,11.45,1.16,-0.1629,0.0031,-0.1555,0.0081,4.585,0.016,3.611,0.021,-0.909,0.087,0.687226662,3.611,1.16,7.0725
2MASS_J12220147-5737565-1,M,3.072,12.85,1.5,-0.1335,0.0034,-0.0106,0.0058,4.33,0.011,3.574,0.004,-0.772,0.021,0.735359995,3.574,1.5,6.73
2MASS_J12220147-5737565-2,M,3.072,12.85,1.5,-0.1752,0.0029,-0.0259,0.0069,4.31,0.013,3.562,0.004,-0.851,0.022,0.668036205,3.562,1.5,6.9275
1SWASP_J093010.78+533859.5-1,K,1.306,9.84,0.88,-0.1158,0.0079,-0.1209,0.0046,4.564,0.012,3.699,0.017,-0.49,0.07,0.765949258,3.699,0.88,6.025
1SWASP_J093010.78+533859.5-2,K,1.306,9.84,0.88,-0.1911,0.0081,-0.129,0.0058,4.505,0.014,3.627,0.021,-0.8,0.08,0.644020957,3.627,0.88,6.8
V1236_Tau-1,K,2.588,18.1,1.37,-0.104,0.0066,-0.1035,0.0083,4.54,0.02,3.623,0.02,-0.76,0.1,0.78704579,3.623,1.37,6.7
V1236_Tau-2,K,2.588,18.1,1.37,-0.1135,0.0051,-0.0878,0.0053,4.5,0.01,3.618,0.025,-0.75,0.09,0.770016444,3.618,1.37,6.675
ASAS_J045304-0700.4-1,K,1.622,11.24,0.63,-0.0789,0.0019,-0.0716,0.0026,4.503,0.005,3.726,0.016,-0.278,0.065,0.833873169,3.726,0.63,5.495
ASAS_J045304-0700.4-2,K,1.622,11.24,0.63,-0.082,0.0021,-0.0794,0.0026,4.515,0.005,3.708,0.017,-0.365,0.068,0.827942164,3.708,0.63,5.7125
HS_Aur-1,G,9.815,10.16,0.77,-0.0458,0.0092,0.0017,0.0104,4.389,0.023,3.728,0.006,-0.13,0.03,0.899911911,3.728,0.77,5.125
HS_Aur-2,K,9.815,10.16,0.77,-0.056,0.0084,-0.059,0.0119,4.5,0.025,3.716,0.006,-0.3,0.03,0.879022517,3.716,0.77,5.55
EPIC_219511354-1,K,1.622,13.16,0.94,-0.04,0.0062,-0.0362,0.0076,4.47,0.016,3.702,0.013,-0.31,0.053,0.912010839,3.702,0.94,5.575
EPIC_219511354-2,K,1.622,13.16,0.94,-0.0851,0.0085,-0.0701,0.0082,4.494,0.017,3.671,0.012,-0.5,0.052,0.822053343,3.671,0.94,6.05
RW_Lac-1,G,10.369,10.63,0.5,-0.0325,0.0028,0.0741,0.0015,4.257,0.003,3.76,0.008,0.14,0.03,0.92789749,3.76,0.5,4.45
RW_Lac-2,G,10.369,10.63,0.5,-0.0605,0.002,-0.0159,0.0018,4.409,0.004,3.745,0.012,-0.1,0.05,0.869961433,3.745,0.5,5.05
CG_Cyg-1,G,0.631,10.08,0.86,-0.0269,0.0055,-0.0506,0.0063,4.512,0.014,3.721,0.015,-0.26,0.06,0.939939715,3.721,0.86,5.45
CG_Cyg-2,K,0.631,10.08,0.86,-0.0915,0.007,-0.0757,0.0072,4.505,0.016,3.674,0.006,-0.51,0.03,0.810027942,3.674,0.86,6.075
HP_Aur-1,G,1.423,11.17,0.68,-0.0203,0.0019,0.0119,0.0018,4.3942,0.004,3.764,0.009,0.036,0.035,0.954333128,3.764,0.68,4.71
HP_Aur-2,K,1.423,11.17,0.68,-0.0918,0.0019,-0.1103,0.0019,4.5669,0.0043,3.713,0.01,-0.414,0.039,0.809468587,3.713,0.68,5.835
ASAS_J065134-2211.5-1,G,8.22,9.83,0.83,-0.0195,0.0055,-0.0013,0.0017,4.421,0.003,3.74,0.008,-0.09,0.03,0.956092695,3.74,0.83,5.025
OGLE-BLG-ECL-116218-1,K,80.586,17.59,1.6,-0.0137,0.0054,1.2235,0.0073,1.978,0.015,3.627,0.021,1.91,0.08,0.96894695,3.627,1.6,0.025
OGLE-BLG-ECL-116218-2,K,80.586,17.59,1.6,-0.0074,0.0053,1.3436,0.0051,1.744,0.009,3.611,0.015,2.08,0.06,0.983105215,3.611,1.6,-0.4
OGLE-SMC-ECL-1492-1,G,73.715,17.71,1.03,-0.0132,0.0045,1.2014,0.0164,2.02,0.03,3.697,0.009,2.149,0.046,0.970063134,3.697,1.03,-0.5725
OGLE-SMC-ECL-1492-2,G,73.715,17.71,1.03,-0.0132,0.0045,1.3997,0.0052,1.63,0.01,3.679,0.006,2.468,0.028,0.970063134,3.679,1.03,-1.37
IM_Vir-1,G,1.309,9.57,0.66,-0.0083,0.0053,0.0257,0.0065,4.379,0.014,3.754,0.008,-0.012,0.034,0.98107001,3.754,0.66,4.83
IM_Vir-2,K,1.309,9.57,0.66,-0.1776,0.0031,-0.1669,0.0083,4.594,0.017,3.628,0.013,-0.867,0.056,0.664354682,3.628,0.66,6.9675
V530_Ori-1,G,6.111,9.96,0.49,0.0016,0.0029,-0.0088,0.0058,4.457,0.012,3.777,0.007,0.016,0.032,1.003690931,3.777,0.49,4.76
V530_Ori-2,M,6.111,9.96,0.49,-0.2251,0.0016,-0.2311,0.005,4.676,0.01,3.589,0.013,-1.154,0.053,0.595525003,3.589,0.49,7.685
V1174_Ori-1,K,2.635,13.95,1.24,0.0039,0.0065,0.1268,0.0049,4.19,0.01,3.65,0.012,-0.193,0.048,1.009020524,3.65,1.24,5.2825
V1174_Ori-2,M,2.635,13.95,1.24,-0.1361,0.0048,0.0273,0.0045,4.25,0.01,3.558,0.012,-0.761,0.058,0.730970752,3.558,1.24,6.7025
EBLM_J0113+31-1,G,14.277,10.12,0.5,0.0124,0.0106,0.1514,0.0043,4.148,0.006,3.787,0.003,0.406,0.014,1.028963572,3.787,0.5,3.785
CV_Boo-1,G,0.847,10.8,0.5,0.0137,0.0055,0.1011,0.0079,4.294,0.016,3.76,0.011,0.197,0.048,1.032048246,3.76,0.5,4.3075
CV_Boo-2,G,0.847,10.8,0.5,-0.0141,0.0054,0.0693,0.0085,4.285,0.017,3.754,0.011,0.107,0.049,0.968054928,3.754,0.5,4.5325
KIC_7177553-1,G,17.996,11.54,0.52,0.0183,0.0058,-0.0269,0.0023,4.517,0.008,3.763,0.01,-0.055,0.04,1.043037686,3.763,0.52,4.9375
KIC_7177553-2,G,17.996,11.54,0.52,-0.0061,0.0066,-0.0264,0.0023,4.491,0.008,3.759,0.011,-0.071,0.041,0.986052413,3.759,0.52,4.9775
V636_Cen-1,G,4.284,8.7,0.62,0.022,0.0021,0.0077,0.0017,4.444,0.004,3.771,0.006,0.05,0.03,1.051961874,3.771,0.62,4.675
OGLE-BLG-ECL-305487-1,K,176.655,18.2,1.7,0.0253,0.0082,1.2849,0.0063,1.893,0.013,3.628,0.042,2.03,0.17,1.059985685,3.628,1.7,-0.275
OGLE-BLG-ECL-305487-2,K,176.655,18.2,1.7,-0.0039,0.0079,1.477,0.0035,1.48,0.005,3.6,0.027,2.31,0.11,0.991060119,3.6,1.7,-0.975
EPIC_219394517-1,G,6.527,11.34,0.64,0.0327,0.0008,0.0233,0.0045,4.4247,0.0094,3.773,0.007,0.091,0.031,1.07820167,3.773,0.64,4.5725
EPIC_219394517-2,G,6.527,11.34,0.64,0.0278,0.001,0.0179,0.005,4.4303,0.0097,3.769,0.007,0.066,0.031,1.066105049,3.769,0.64,4.635
V963_Cen-1,G,15.269,8.6,0.64,0.0339,0.0012,0.16,0.0016,4.152,0.003,3.764,0.004,0.332,0.018,1.081184971,3.764,0.64,3.97
V963_Cen-2,G,15.269,8.6,0.64,0.0315,0.0012,0.1527,0.0021,4.164,0.004,3.765,0.005,0.32,0.021,1.0752266,3.765,0.64,4
OGLE-BLG-ECL-296596-1,K,155.658,15.48,1.26,0.0386,0.006,1.2567,0.0067,1.963,0.013,3.625,0.014,1.964,0.067,1.092949259,3.625,1.26,-0.11
OGLE-BLG-ECL-296596-2,K,155.658,15.48,1.26,0.0512,0.0054,1.4742,0.0048,1.541,0.011,3.599,0.013,2.297,0.06,1.125122993,3.599,1.26,-0.9425
V1094_Tau-1,G,8.989,8.97,0.7,0.04,0.0016,0.1495,0.0018,4.179,0.004,3.767,0.007,0.32,0.03,1.096478196,3.767,0.7,4
V1094_Tau-2,G,8.989,8.97,0.7,0.0052,0.0012,0.0439,0.0026,4.355,0.005,3.756,0.008,0.05,0.03,1.012045411,3.756,0.7,4.675
QR_Hya-1,G,5.006,8.4,0.63,0.0415,0.0007,0.1087,0.0014,4.262,0.003,3.773,0.005,0.262,0.021,1.100271845,3.773,0.63,4.145
QR_Hya-2,G,5.006,8.4,0.63,0.0283,0.0008,0.0802,0.002,4.306,0.004,3.767,0.005,0.182,0.023,1.067333154,3.767,0.63,4.345
AL_Dor-1,F,14.905,7.74,0.57,0.0421,0.0002,0.0381,0.0008,4.404,0.002,3.782,0.005,0.159,0.018,1.101792978,3.782,0.57,4.4025
AL_Dor-2,F,14.905,7.74,0.57,0.0425,0.0003,0.0407,0.0008,4.399,0.002,3.782,0.005,0.164,0.018,1.102808234,3.782,0.57,4.39
EPIC_219568666-1,F,11.991,11.86,0.7,0.0496,0.005,0.0711,0.0026,4.346,0.005,3.788,0.007,0.248,0.028,1.120985513,3.788,0.7,4.18
HP_Dra-1,F,10.762,7.94,0.55,0.0542,0.0019,0.137,0.0038,4.218,0.01,3.778,0.011,0.34,0.044,1.132921973,3.778,0.55,3.95
HP_Dra-2,F,10.762,7.94,0.55,0.039,0.0028,0.022,0.0041,4.433,0.011,3.77,0.011,0.079,0.044,1.093956366,3.77,0.55,4.6025
KX_Cnc-1,F,31.22,7.19,0.56,0.0548,0.0012,0.0223,0.0023,4.4825,0.0045,3.771,0.007,0.083,0.03,1.134488244,3.771,0.56,4.5925
KX_Cnc-2,F,31.22,7.19,0.56,0.0508,0.0017,0.025,0.0021,4.4388,0.0041,3.767,0.007,0.071,0.03,1.124087193,3.767,0.56,4.6225
ZZ_UMa-1,F,2.299,10.39,0.54,0.0549,0.0033,0.1574,0.0021,4.178,0.004,3.775,0.005,0.37,0.052,1.1347495,3.775,0.54,3.875
ZZ_UMa-2,G,2.299,10.39,0.54,-0.0154,0.0023,0.0315,0.0019,4.36,0.003,3.722,0.007,-0.095,0.03,0.965161523,3.722,0.54,5.0375
ASAS_J061016-3321.3-1,K,199.857,9.71,1.48,0.0599,0.0117,1.0913,0.0067,2.315,0.014,3.632,0.019,1.667,0.074,1.14788928,3.632,1.48,0.6325
ASAS_J061016-3321.3-2,K,199.857,9.71,1.48,0.0615,0.0045,1.5227,0.0051,1.454,0.01,3.583,0.021,2.319,0.092,1.15212606,3.583,1.48,-0.9975
WASP_0639-32-1,F,11.658,10.66,0.5,0.0624,0.0016,0.2634,0.0054,3.974,0.011,3.801,0.003,0.685,0.018,1.154516117,3.801,0.5,3.0875
WASP_0639-32-2,K,11.658,10.66,0.5,-0.1061,0.0016,-0.1372,0.0048,4.607,0.01,3.732,0.006,-0.392,0.028,0.783249272,3.732,0.5,5.78
UW_LMi-1,G,3.874,8.32,0.59,0.0655,0.0007,0.1271,0.0045,4.249,0.009,3.781,0.005,0.332,0.022,1.162786551,3.781,0.59,3.97
UW_LMi-2,G,3.874,8.32,0.59,0.057,0.0006,0.1055,0.0055,4.284,0.011,3.778,0.005,0.279,0.023,1.140249788,3.778,0.59,4.1025
AL_Ari-1,F,3.747,7.23,0.52,0.066,0.0005,0.1374,0.0028,4.229,0.005,3.804,0.004,0.444,0.016,1.164126029,3.804,0.52,3.69
AL_Ari-2,G,3.747,7.23,0.52,-0.0404,0.0003,-0.0434,0.0038,4.458,0.008,3.745,0.005,-0.155,0.019,0.911171233,3.745,0.52,5.1875
EW_Ori-1,G,6.937,9.9,0.57,0.0693,0.0041,0.0674,0.0019,4.372,0.005,3.783,0.007,0.22,0.03,1.173005369,3.783,0.57,4.25
EW_Ori-2,G,6.937,9.9,0.57,0.0504,0.0035,0.0402,0.002,4.408,0.005,3.771,0.007,0.12,0.03,1.123052348,3.771,0.57,4.5
V2080_Cyg-1,F,4.934,7.4,0.42,0.0759,0.0062,0.203,0.0022,4.108,0.003,3.778,0.005,0.474,0.022,1.190967746,3.778,0.42,3.615
V2080_Cyg-2,F,4.934,7.4,0.42,0.0633,0.0064,0.2038,0.0022,4.093,0.003,3.777,0.005,0.472,0.022,1.156911132,3.777,0.42,3.62
LV_Her-1,F,18.436,11.06,0.78,0.0766,0.0036,0.1329,0.0038,4.2493,0.0082,3.793,0.011,0.349,0.044,1.192888907,3.793,0.78,3.9275
LV_Her-2,F,18.436,11.06,0.78,0.0681,0.003,0.1183,0.0036,4.2695,0.0081,3.78,0.011,0.311,0.044,1.169768709,3.78,0.78,4.0225
AI_Phe-1,K,24.592,8.61,0.83,0.0769,0.0003,0.2565,0.0005,4.002,0.0011,3.792,0.002,0.654,0.007,1.19371321,3.792,0.83,3.165
AI_Phe-2,F,24.592,8.61,0.83,0.0948,0.0003,0.4673,0.0003,3.5981,0.0009,3.707,0.002,0.736,0.006,1.243941624,3.707,0.83,2.96
LL_Aqr-1,F,20.178,9.32,0.54,0.0777,0.0003,0.1209,0.002,4.274,0.004,3.784,0.003,0.332,0.014,1.195914138,3.784,0.54,3.97
LL_Aqr-2,F,20.178,9.32,0.54,0.0144,0.0003,0.0009,0.0022,4.451,0.004,3.756,0.004,-0.019,0.016,1.033713052,3.756,0.54,4.8475
FL_Lyr-1,F,2.178,9.33,0.52,0.0829,0.0027,0.0948,0.008,4.331,0.016,3.796,0.008,0.33,0.095,1.210319415,3.796,0.52,3.975
